 Fields to use
 Latitude range and number of values        58.000    65.000        36
 Longitude range and number of values        2.000     8.000        31
 Contour level to plot and color          90.0
 Contour level to plot and color          50.0
 Contour level to plot and color          20.0
 Contour level to plot and color           5.0
 Contour level to plot and color           2.0
 Contour level to plot and color           1.8
 Contour level to plot and color           1.6
 Contour level to plot and color           1.4
 Contour level to plot and color           1.2
 Contour level to plot and color           1.0
 Contour level to plot and color           0.9
 Contour level to plot and color           0.8
 Contour level to plot and color           0.7
 Contour level to plot and color           0.6
 Contour level to plot and color           0.5
 Contour level to plot and color           0.4
 Contour level to plot and color           0.3
 Contour level to plot and color           0.2
 Contour level to plot and color           0.1
   5.00000000       60.2000008       8.41614819    
   5.19999981       60.2000008       8.64927387    
   5.40000010       60.2000008       8.73779488    
   5.59999990       60.2000008       8.76779270    
   5.80000019       60.2000008       8.84435558    
   6.00000000       60.2000008       9.00389290    
   6.20000029       60.2000008       9.24700928    
   6.40000010       60.2000008       9.55428600    
   6.59999990       60.2000008       9.89089680    
   6.80000019       60.2000008       10.2268295    
   7.00000000       60.2000008       10.5839157    
   7.20000029       60.2000008       10.9761200    
   7.40000010       60.2000008       11.4172764    
   7.59999990       60.2000008       11.9124851    
   7.80000019       60.2000008       12.4528160    
   8.00000000       60.2000008       13.0213823    
   2.00000000       60.4000015       7.09979105    
   2.20000005       60.4000015       6.89064121    
   2.40000010       60.4000015       6.69706488    
   2.59999990       60.4000015       6.52098227    
   2.79999995       60.4000015       6.35941362    
   3.00000000       60.4000015       6.24773693    
   3.20000005       60.4000015       6.16941452    
   3.40000010       60.4000015       6.12337112    
   3.59999990       60.4000015       6.11223650    
   3.79999995       60.4000015       6.14242172    
   4.00000000       60.4000015       6.22630787    
   4.19999981       60.4000015       6.35171938    
   4.40000010       60.4000015       6.50912476    
   4.59999990       60.4000015       6.71431732    
   4.80000019       60.4000015       6.96550894    
   5.00000000       60.4000015       7.24342394    
   5.19999981       60.4000015       7.49332237    
   5.40000010       60.4000015       7.58939409    
   5.59999990       60.4000015       7.55572557    
   5.80000019       60.4000015       7.57788897    
   6.00000000       60.4000015       7.70867777    
   6.20000029       60.4000015       7.94495726    
   6.40000010       60.4000015       8.26970959    
   6.59999990       60.4000015       8.66421413    
   6.80000019       60.4000015       9.11438560    
   7.00000000       60.4000015       9.59174156    
   7.20000029       60.4000015       10.0991659    
   7.40000010       60.4000015       10.6497707    
   7.59999990       60.4000015       11.2434082    
   7.80000019       60.4000015       11.8737383    
   8.00000000       60.4000015       12.5277567    
   2.00000000       60.5999985       6.55257225    
   2.20000005       60.5999985       6.30484962    
   2.40000010       60.5999985       6.06916857    
   2.59999990       60.5999985       5.83779526    
   2.79999995       60.5999985       5.62108135    
   3.00000000       60.5999985       5.45023584    
   3.20000005       60.5999985       5.31525517    
   3.40000010       60.5999985       5.20980597    
   3.59999990       60.5999985       5.13488388    
   3.79999995       60.5999985       5.08904409    
   4.00000000       60.5999985       5.08625698    
   4.19999981       60.5999985       5.10995770    
   4.40000010       60.5999985       5.17229414    
   4.59999990       60.5999985       5.27135181    
   4.80000019       60.5999985       5.40209293    
   5.00000000       60.5999985       5.54705858    
   5.19999981       60.5999985       5.68235636    
   5.40000010       60.5999985       5.78970766    
   5.59999990       60.5999985       5.89423609    
   5.80000019       60.5999985       6.05002975    
   6.00000000       60.5999985       6.29593372    
   6.20000029       60.5999985       6.63111019    
   6.40000010       60.5999985       7.05572033    
   6.59999990       60.5999985       7.55285978    
   6.80000019       60.5999985       8.10760880    
